name,description,about_us,website,domain,founded_year,address,city,state,zip,country,business_category,product_categories,sustainability_markers,instagram_handle,facebook_company_page,linkedin_company_page,annualrevenue,total_revenue,numberofemployees,owner_demographics,vegan_gf_friendly_,food_type
100% HP,"Plant-based restaurant in Santurce serving vegan Puerto Rican comfort food, burgers, rice dishes, and frituras.",,https://enganandocarnivoros.com/en/,,,605 Calle Cerra,San Juan,PR,00907,Puerto Rico,Food,,,@100porcientohp,,,,,,,Vegan Friendly,Vegan;Puerto Rican
Back Door Vintage,Vintage and streetwear shop on Calle Loiza selling curated apparel and accessories.,,https://backdoorvintage.shop/,,,103 Calle Sta. Cecilia,San Juan,PR,00911,Puerto Rico,Retail,Clothing;Accessories,,@backdoorvintage,,,,,,,,
Berlingeri,"Vegetarian restaurant in Ocean Park known for fresh bowls, salads, soups, and meatless dishes.",,,,,1958 Calle McLeary,San Juan,PR,00911,Puerto Rico,Food,,,@berlingeripr,,,,,,,Vegan Friendly,Vegetarian;Vegan
Bori Vegan,"Vegan cafe and meal prep spot serving Puerto Rican breakfasts, lunches, smoothies, coffee, and pastries.",,https://borivegan.com/,,,610 Calle Figueroa,San Juan,PR,00909,Puerto Rico,Food,,,@borivegan,,,,,,,Vegan Friendly,Vegan;Puerto Rican
Boveda,Spanish-inspired fine dining restaurant in Hato Rey led by Chef Carol Reyes.,,https://www.bovedarestaurante.com/,,,208 Avenida Ponce De León,San Juan,PR,00918,Puerto Rico,Food,,,@bovedarestaurante,,,,,,,,Spanish
Cafe El Punto,"Old San Juan restaurant serving traditional Puerto Rican dishes, seafood, smoothies, and mojitos.",,https://cafeelpunto.com/,,,105 Calle Fortaleza,San Juan,PR,00901,Puerto Rico,Food,,,@cafeelpunto,,,,,,,,Puerto Rican;Seafood
Cafe Regina,"Neighborhood cafe focused on specialty coffee, experimental drinks, light breakfasts, lunches, and house-made pastries.",,,,,58 Calle Taft,San Juan,PR,00911,Puerto Rico,Food,,,@cafereginapr,,,,,,,,Cafe
Casa Botanica,"Boutique vegan wellness stay in San Juan with yoga, vegan breakfast, and a local boutique shop.",,https://labotanicahotel.com/,,,1808 McLeary Avenue,San Juan,PR,00911,Puerto Rico,Health/Wellness & Beauty,,,@casabotanicahotel,,,,,,,,
Casita Miramar,Miramar restaurant serving authentic Puerto Rican cuisine made with local ingredients.,,https://www.casita-miramar.com/,,,605 Av. Miramar,San Juan,PR,00907,Puerto Rico,Food,,,@casitamiramar,,,,,,,,Puerto Rican
El Vino Crudo,"Natural wine bar and shop in Old San Juan with reservations, takeaway bottles, and wholesale offerings.",,https://elvinocrudo.com/,,,320 Calle de la Fortaleza,San Juan,PR,00901,Puerto Rico,Food,,,@elvinocrudo,,,,,,,,
Electroshock,"Eclectic thrift and vintage shop on Calle Loiza selling clothing, accessories, vinyl records, and local artisan goods.",,,,,1811 Calle Loíza,San Juan,PR,00911,Puerto Rico,Retail,Clothing;Accessories;Music/Records,,@electroshockpr,,,,,,,,
La Finca Victoria,"Ayurvedic boutique hotel and wellness retreat in Vieques with yoga, spa treatments, and vegan breakfast.",,https://www.finca-victoria.com/,,,"Rt. 995, km 2.2",Vieques,PR,00765,Puerto Rico,Health/Wellness & Beauty,,,@lafincavictoria,,,,,,,,
La Isla,"Multifunction vegan cafe in San Juan with breakfast and lunch service, workspaces, and a small zero-waste shop.",,,,,909 Avenida Manuel Fernández Juncos,San Juan,PR,00907,Puerto Rico,Food,,,@laislacafe,,,,,,,Vegan Friendly,Vegan;Cafe
Luca,San Juan creative studio focused on filmmaking and photography.,,https://lucapr.com/,,,750 Ave. Fernandez Juncos,San Juan,PR,00907,Puerto Rico,,,,@lucapr,,,,,,,,
Numero Uno Beach House,"Ocean Park beach destination with all-day dining, cocktails, watersports, and boutique lodging.",,https://numerounobeachhouse.com/,,,1 Calle Santa Ana,San Juan,PR,00911,Puerto Rico,Food,,,@numerounobeachhouse,,,,,,,,Caribbean
Old Love,Vintage clothing boutique in San Juan specializing in curated apparel and accessories.,,https://oldlovepr.com/,,,1607 Ave. Ponce de León,San Juan,PR,00909,Puerto Rico,Retail,Clothing;Accessories,,@oldlovepr,,,,,,,,
Panaderia Espana,"Traditional Spanish bakery and cafe serving breads, pastries, sandwiches, hot plates, and wine.",,https://panaderiaespana.com/,,,1105 Calle Marginal Villamar,Carolina,PR,00979,Puerto Rico,Food,,,@panaderiaespana,,,,,,,,Bakery;Spanish
Scuola di Vino,"Puerto Rico-based importer, wholesaler, and online retailer specializing in natural wine.",,https://scuoladivino.com/,,,"1607 Ave. Ponce de León, Unit GM 06",San Juan,PR,00909,Puerto Rico,Retail,,,@scuoladivinopr,,,,,,,,
Vice Versa,Vintage clothing store on Calle Loiza focused on second-hand fashion and nostalgic finds.,,,,,1951 Calle Loíza,San Juan,PR,00911,Puerto Rico,Retail,Clothing;Accessories,,@viceversapr,,,,,,,,
